scope	p	m	x	factorization_x	d	I_residue	I_hit	II_eligible	II_residue	II_hit	I_y	I_z	I_identity_lhs	I_identity_rhs	II_y	II_z	II_identity_lhs	II_identity_rhs
REGISTERED_B23	73	3	19	19^1	1	2	0	1	2	0								
REGISTERED_B23	73	3	19	19^1	19	2	0	1	2	0								
REGISTERED_B23	73	3	19	19^1	361	2	0	0	2	0								
REGISTERED_B23	73	7	20	2^2*5^1	1	5	0	1	0	1					219	4380	76737600	76737600
REGISTERED_B23	73	7	20	2^2*5^1	2	6	0	1	1	0								
REGISTERED_B23	73	7	20	2^2*5^1	4	1	0	1	3	0								
REGISTERED_B23	73	7	20	2^2*5^1	5	2	0	1	4	0								
REGISTERED_B23	73	7	20	2^2*5^1	8	5	0	1	0	1					292	730	17052800	17052800
REGISTERED_B23	73	7	20	2^2*5^1	10	0	1	1	2	0	210	30660	515088000	515088000				
REGISTERED_B23	73	7	20	2^2*5^1	16	6	0	1	1	0								
REGISTERED_B23	73	7	20	2^2*5^1	20	3	0	1	5	0								
REGISTERED_B23	73	7	20	2^2*5^1	25	1	0	0	3	0								
REGISTERED_B23	73	7	20	2^2*5^1	40	2	0	0	4	0								
REGISTERED_B23	73	7	20	2^2*5^1	50	5	0	0	0	0								
REGISTERED_B23	73	7	20	2^2*5^1	80	0	1	0	2	0	220	4015	70664000	70664000				
REGISTERED_B23	73	7	20	2^2*5^1	100	6	0	0	1	0								
REGISTERED_B23	73	7	20	2^2*5^1	200	1	0	0	3	0								
REGISTERED_B23	73	7	20	2^2*5^1	400	5	0	0	0	0								
REGISTERED_B23	73	11	21	3^1*7^1	1	5	0	1	0	1					146	3066	37601424	37601424
REGISTERED_B23	73	11	21	3^1*7^1	3	7	0	1	2	0								
REGISTERED_B23	73	11	21	3^1*7^1	7	0	1	1	6	0	140	30660	360561600	360561600				
REGISTERED_B23	73	11	21	3^1*7^1	9	2	0	1	8	0								
REGISTERED_B23	73	11	21	3^1*7^1	21	3	0	1	9	0								
REGISTERED_B23	73	11	21	3^1*7^1	49	9	0	0	4	0								
REGISTERED_B23	73	11	21	3^1*7^1	63	1	0	0	7	0								
REGISTERED_B23	73	11	21	3^1*7^1	147	8	0	0	3	0								
REGISTERED_B23	73	11	21	3^1*7^1	441	5	0	0	0	0								
REGISTERED_B23	73	15	22	2^1*11^1	1	2	0	1	8	0								
REGISTERED_B23	73	15	22	2^1*11^1	2	3	0	1	9	0								
REGISTERED_B23	73	15	22	2^1*11^1	4	5	0	1	11	0								
REGISTERED_B23	73	15	22	2^1*11^1	11	12	0	1	3	0								
REGISTERED_B23	73	15	22	2^1*11^1	22	8	0	1	14	0								
REGISTERED_B23	73	15	22	2^1*11^1	44	0	1	0	6	0	110	4015	38865200	38865200				
REGISTERED_B23	73	15	22	2^1*11^1	121	2	0	0	8	0								
REGISTERED_B23	73	15	22	2^1*11^1	242	3	0	0	9	0								
REGISTERED_B23	73	15	22	2^1*11^1	484	5	0	0	11	0								
REGISTERED_B23	73	19	23	23^1	1	8	0	1	5	0								
REGISTERED_B23	73	19	23	23^1	23	11	0	1	8	0								
REGISTERED_B23	73	19	23	23^1	529	4	0	0	1	0								
REGISTERED_B23	73	23	24	2^3*3^1	1	5	0	1	2	0								
REGISTERED_B23	73	23	24	2^3*3^1	2	6	0	1	3	0								
REGISTERED_B23	73	23	24	2^3*3^1	3	7	0	1	4	0								
REGISTERED_B23	73	23	24	2^3*3^1	4	8	0	1	5	0								
REGISTERED_B23	73	23	24	2^3*3^1	6	10	0	1	7	0								
REGISTERED_B23	73	23	24	2^3*3^1	8	12	0	1	9	0								
REGISTERED_B23	73	23	24	2^3*3^1	9	13	0	1	10	0								
REGISTERED_B23	73	23	24	2^3*3^1	12	16	0	1	13	0								
REGISTERED_B23	73	23	24	2^3*3^1	16	20	0	1	17	0								
REGISTERED_B23	73	23	24	2^3*3^1	18	22	0	1	19	0								
REGISTERED_B23	73	23	24	2^3*3^1	24	5	0	1	2	0								
REGISTERED_B23	73	23	24	2^3*3^1	32	13	0	0	10	0								
REGISTERED_B23	73	23	24	2^3*3^1	36	17	0	0	14	0								
REGISTERED_B23	73	23	24	2^3*3^1	48	6	0	0	3	0								
REGISTERED_B23	73	23	24	2^3*3^1	64	22	0	0	19	0								
REGISTERED_B23	73	23	24	2^3*3^1	72	7	0	0	4	0								
REGISTERED_B23	73	23	24	2^3*3^1	96	8	0	0	5	0								
REGISTERED_B23	73	23	24	2^3*3^1	144	10	0	0	7	0								
REGISTERED_B23	73	23	24	2^3*3^1	192	12	0	0	9	0								
REGISTERED_B23	73	23	24	2^3*3^1	288	16	0	0	13	0								
REGISTERED_B23	73	23	24	2^3*3^1	576	5	0	0	2	0								
REGISTERED_B23	241441	3	60361	7^1*8623^1	1	2	0	1	2	0								
REGISTERED_B23	241441	3	60361	7^1*8623^1	7	2	0	1	2	0								
REGISTERED_B23	241441	3	60361	7^1*8623^1	49	2	0	1	2	0								
REGISTERED_B23	241441	3	60361	7^1*8623^1	8623	2	0	1	2	0								
REGISTERED_B23	241441	3	60361	7^1*8623^1	60361	2	0	1	2	0								
REGISTERED_B23	241441	3	60361	7^1*8623^1	422527	2	0	0	2	0								
REGISTERED_B23	241441	3	60361	7^1*8623^1	74356129	2	0	0	2	0								
REGISTERED_B23	241441	3	60361	7^1*8623^1	520492903	2	0	0	2	0								
REGISTERED_B23	241441	3	60361	7^1*8623^1	3643450321	2	0	0	2	0								
REGISTERED_B23	241441	7	60362	2^1*30181^1	1	5	0	1	2	0								
REGISTERED_B23	241441	7	60362	2^1*30181^1	2	6	0	1	3	0								
REGISTERED_B23	241441	7	60362	2^1*30181^1	4	1	0	1	5	0								
REGISTERED_B23	241441	7	60362	2^1*30181^1	30181	1	0	1	5	0								
REGISTERED_B23	241441	7	60362	2^1*30181^1	60362	5	0	1	2	0								
REGISTERED_B23	241441	7	60362	2^1*30181^1	120724	6	0	0	3	0								
REGISTERED_B23	241441	7	60362	2^1*30181^1	910892761	6	0	0	3	0								
REGISTERED_B23	241441	7	60362	2^1*30181^1	1821785522	1	0	0	5	0								
REGISTERED_B23	241441	7	60362	2^1*30181^1	3643571044	5	0	0	2	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	1	2	0	1	7	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	3	4	0	1	9	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	9	10	0	1	4	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	19	9	0	1	3	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	27	6	0	1	0	1					1325511090	2963400960210	948428487105143400350362800	948428487105143400350362800
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	57	3	0	1	8	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	81	5	0	1	10	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	171	7	0	1	1	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	353	2	0	1	7	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	361	10	0	1	4	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	513	8	0	1	2	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	1059	4	0	1	9	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	1083	6	0	1	0	1					1348689426	75171689586	24479191588706791768247472	24479191588706791768247472
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	1539	0	1	1	5	0	1324918602	12546783809052794	4013769417799914208904775750576	4013769417799914208904775750576				
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	3177	10	0	1	4	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	3249	5	0	1	10	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	6707	9	0	1	3	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	9531	6	0	1	0	1					1534116114	9716068722	3598981520538732817239216	3598981520538732817239216
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	9747	2	0	1	7	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	20121	3	0	1	8	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	28593	5	0	1	10	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	29241	4	0	1	9	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	60363	7	0	1	1	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	124609	2	0	0	7	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	127433	10	0	0	4	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	181089	8	0	0	2	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	373827	4	0	0	9	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	382299	6	0	0	0	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	543267	0	1	0	5	0	1324967850	35544618074650	11371296916892703098403630000	11371296916892703098403630000				
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	1121481	10	0	0	4	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	1146897	5	0	0	10	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	2367571	9	0	0	3	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	3364443	6	0	0	0	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	3440691	2	0	0	7	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	7102713	3	0	0	8	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	10093329	5	0	0	10	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	10322073	4	0	0	9	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	21308139	7	0	0	1	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	44983849	10	0	0	4	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	63924417	8	0	0	2	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	134951547	6	0	0	0	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	191773251	0	1	0	5	0	1342352394	102014134202	33064175452167054255481776	33064175452167054255481776				
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	404854641	5	0	0	10	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	1214563923	2	0	0	7	0								
REGISTERED_B23	241441	11	60363	3^2*19^1*353^1	3643691769	4	0	0	9	0								
REGISTERED_B23	241441	15	60364	2^2*15091^1	1	5	0	1	5	0								
REGISTERED_B23	241441	15	60364	2^2*15091^1	2	6	0	1	6	0								
REGISTERED_B23	241441	15	60364	2^2*15091^1	4	8	0	1	8	0								
REGISTERED_B23	241441	15	60364	2^2*15091^1	8	12	0	1	12	0								
REGISTERED_B23	241441	15	60364	2^2*15091^1	16	5	0	1	5	0								
REGISTERED_B23	241441	15	60364	2^2*15091^1	15091	5	0	1	5	0								
REGISTERED_B23	241441	15	60364	2^2*15091^1	30182	6	0	1	6	0								
REGISTERED_B23	241441	15	60364	2^2*15091^1	60364	8	0	1	8	0								
REGISTERED_B23	241441	15	60364	2^2*15091^1	120728	12	0	0	12	0								
REGISTERED_B23	241441	15	60364	2^2*15091^1	241456	5	0	0	5	0								
REGISTERED_B23	241441	15	60364	2^2*15091^1	227738281	5	0	0	5	0								
REGISTERED_B23	241441	15	60364	2^2*15091^1	455476562	6	0	0	6	0								
REGISTERED_B23	241441	15	60364	2^2*15091^1	910953124	8	0	0	8	0								
REGISTERED_B23	241441	15	60364	2^2*15091^1	1821906248	12	0	0	12	0								
REGISTERED_B23	241441	15	60364	2^2*15091^1	3643812496	5	0	0	5	0								
REGISTERED_B23	241441	19	60365	5^1*12073^1	1	17	0	1	3	0								
REGISTERED_B23	241441	19	60365	5^1*12073^1	5	2	0	1	7	0								
REGISTERED_B23	241441	19	60365	5^1*12073^1	25	3	0	1	8	0								
REGISTERED_B23	241441	19	60365	5^1*12073^1	12073	5	0	1	10	0								
REGISTERED_B23	241441	19	60365	5^1*12073^1	60365	18	0	1	4	0								
REGISTERED_B23	241441	19	60365	5^1*12073^1	301825	7	0	0	12	0								
REGISTERED_B23	241441	19	60365	5^1*12073^1	145757329	4	0	0	9	0								
REGISTERED_B23	241441	19	60365	5^1*12073^1	728786645	13	0	0	18	0								
REGISTERED_B23	241441	19	60365	5^1*12073^1	3643933225	1	0	0	6	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	1	3	0	1	15	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	2	4	0	1	16	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	3	5	0	1	17	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	4	6	0	1	18	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	6	8	0	1	20	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	9	11	0	1	0	1					633782625	4250991326750	650553381363734109560250000	650553381363734109560250000
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	12	14	0	1	3	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	18	20	0	1	9	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	36	15	0	1	4	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	10061	12	0	1	1	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	20122	22	0	1	11	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	30183	9	0	1	21	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	40244	19	0	1	8	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	60366	16	0	1	5	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	90549	0	1	0	12	0	633692085	101999500462990	15607333776399944900303595600	15607333776399944900303595600				
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	120732	7	0	0	19	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	181098	21	0	0	10	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	362196	17	0	0	6	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	101223721	10	0	0	22	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	202447442	18	0	0	7	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	303671163	3	0	0	15	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	404894884	11	0	0	0	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	607342326	4	0	0	16	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	911013489	5	0	0	17	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	1214684652	6	0	0	18	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	1822026978	8	0	0	20	0								
REGISTERED_B23	241441	23	60366	2^1*3^1*10061^1	3644053956	14	0	0	3	0								
REGISTERED_B23	2689	3	673	673^1	1	2	0	1	2	0								
REGISTERED_B23	2689	3	673	673^1	673	2	0	1	2	0								
REGISTERED_B23	2689	3	673	673^1	452929	2	0	0	2	0								
REGISTERED_B23	2689	7	674	2^1*337^1	1	3	0	1	3	0								
REGISTERED_B23	2689	7	674	2^1*337^1	2	4	0	1	4	0								
REGISTERED_B23	2689	7	674	2^1*337^1	4	6	0	1	6	0								
REGISTERED_B23	2689	7	674	2^1*337^1	337	3	0	1	3	0								
REGISTERED_B23	2689	7	674	2^1*337^1	674	4	0	1	4	0								
REGISTERED_B23	2689	7	674	2^1*337^1	1348	6	0	0	6	0								
REGISTERED_B23	2689	7	674	2^1*337^1	113569	3	0	0	3	0								
REGISTERED_B23	2689	7	674	2^1*337^1	227138	4	0	0	4	0								
REGISTERED_B23	2689	7	674	2^1*337^1	454276	6	0	0	6	0								
REGISTERED_B23	2689	11	675	3^3*5^2	1	10	0	1	5	0								
REGISTERED_B23	2689	11	675	3^3*5^2	3	1	0	1	7	0								
REGISTERED_B23	2689	11	675	3^3*5^2	5	3	0	1	9	0								
REGISTERED_B23	2689	11	675	3^3*5^2	9	7	0	1	2	0								
REGISTERED_B23	2689	11	675	3^3*5^2	15	2	0	1	8	0								
REGISTERED_B23	2689	11	675	3^3*5^2	25	1	0	1	7	0								
REGISTERED_B23	2689	11	675	3^3*5^2	27	3	0	1	9	0								
REGISTERED_B23	2689	11	675	3^3*5^2	45	10	0	1	5	0								
REGISTERED_B23	2689	11	675	3^3*5^2	75	7	0	1	2	0								
REGISTERED_B23	2689	11	675	3^3*5^2	81	2	0	1	8	0								
REGISTERED_B23	2689	11	675	3^3*5^2	125	2	0	1	8	0								
REGISTERED_B23	2689	11	675	3^3*5^2	135	1	0	1	7	0								
REGISTERED_B23	2689	11	675	3^3*5^2	225	3	0	1	9	0								
REGISTERED_B23	2689	11	675	3^3*5^2	243	10	0	1	5	0								
REGISTERED_B23	2689	11	675	3^3*5^2	375	10	0	1	5	0								
REGISTERED_B23	2689	11	675	3^3*5^2	405	7	0	1	2	0								
REGISTERED_B23	2689	11	675	3^3*5^2	625	7	0	1	2	0								
REGISTERED_B23	2689	11	675	3^3*5^2	675	2	0	1	8	0								
REGISTERED_B23	2689	11	675	3^3*5^2	729	1	0	0	7	0								
REGISTERED_B23	2689	11	675	3^3*5^2	1125	1	0	0	7	0								
REGISTERED_B23	2689	11	675	3^3*5^2	1215	3	0	0	9	0								
REGISTERED_B23	2689	11	675	3^3*5^2	1875	3	0	0	9	0								
REGISTERED_B23	2689	11	675	3^3*5^2	2025	10	0	0	5	0								
REGISTERED_B23	2689	11	675	3^3*5^2	3375	7	0	0	2	0								
REGISTERED_B23	2689	11	675	3^3*5^2	3645	2	0	0	8	0								
REGISTERED_B23	2689	11	675	3^3*5^2	5625	2	0	0	8	0								
