claim_id,title,claim_status,proof_provenance,review_status,last_checked
full-solution-lift-circularity-reciprocal-affine-no-go,未标记全域提升的循环性与逐坐标倒数仿射整值障碍,established,repository_derivation,internal_review,2026-08-12
root-context-terminal-disjunctive-invariant,根证书与标记纤维的析取终端不变量,established,repository_derivation,internal_review,2026-08-17
two-denominator-lift-d-only-marked-normal-form,双尾提升的 D-only 标记正规形与 p 载体刚性,established,repository_derivation,internal_review,2026-08-11
two-denominator-lift-same-one-mod-four-no-go,同 1 mod 4 秩的 non-source D-only 标记纤维全域空定理,established,repository_derivation,internal_review,2026-08-01
two-denominator-lift-source-supported-tail-ratio-rigidity,source-supported D-only 提升的固定尾比刚性与中心 Type I 等价,established,repository_derivation,internal_review,2026-07-31
type-I-bottom-sink-scc-complete-excess-bundle-selector,底层汇 SCC 的完整超额 bundle 选择器与线性源 overflow 收缩,established,repository_derivation,internal_review,2026-08-11
type-I-canonical-complete-support-rechart-g-obstruction,规范完全换支撑重图表及其普适 G 态终点,established,repository_derivation,internal_review,2026-07-31
type-I-f-denominator-clearing-qadic-lift-contract,F 状态同分母指数清除的双向 q 进必要合同,established,repository_derivation,internal_review,2026-07-30
type-I-f-psi-one-nearest-fiber-escape-boundary,内禀缺陷一的最近目标纤维与一层逃逸边界,computationally_reproduced,mixed,internal_review,2026-07-31
type-I-f-qadic-numerator-lift-rigidity-and-gcd-reduction,F 状态 q 进清分子的参数刚性与公因子约分,established,repository_derivation,internal_review,2026-07-30
type-I-factorization-free-centered-hit-terminal-serializer,无因数分解中心 hit 的 Type I 终端序列化,established,repository_derivation,internal_review,2026-08-17
type-I-formal-external-slab-collision-absorption-rechart,单新支撑 q-slab 的双碰撞终端与容量吸收图表族,established,repository_derivation,internal_review,2026-08-01
type-I-formal-linear-chart-p-transience-large-slab-anchor,线性图表中 p 边的有限瞬态与 large-slab 三锚点压缩,established,repository_derivation,internal_review,2026-08-01
type-I-formal-target-pair-descent-cycle-boundary,形式目标因子对转移的 m 等于一支撑内循环边界,established,repository_derivation,internal_review,2026-07-30
type-I-generalized-dyadic-natural-lift-equivalence,广义二进偶前驱的自然标记提升等价与 F 态零分支,established,repository_derivation,internal_review,2026-07-31
type-I-generalized-dyadic-standard-even-lift-boundary,广义二进前驱的标准偶源分类与完整提升零边界,computationally_reproduced,mixed,internal_review,2026-07-31
type-I-high-support-bundle-carry-capacity-terminal-dispatch,高支撑 bundle 的精确 carry 容量门、空改善反例与终端分派,established,repository_derivation,internal_review,2026-08-11
type-I-high-support-c2-boundary-carry-dyadic-capacity-transduction,最小高支撑 C=2 边界的严格 carry no-go 与内部二进容量转导,established,repository_derivation,internal_review,2026-08-11
type-I-high-support-c2-centered-vieta-antipodal-no-go,最小 C=2 图表的反足 Vieta 全称 no-go,established,repository_derivation,internal_review,2026-08-11
type-I-high-support-c2-rank-one-retention-exhaustion,最小 C=2 偶前驱的跨图表重索引、双尾保持穷尽与 gap-7 单标记边界,established,repository_derivation,internal_review,2026-08-11
type-I-high-support-rank-aware-sink-bundle-selector,高支撑 F/G 状态的 rank-aware sink-bundle 有限选择器与 p=73 严格出口,established,repository_derivation,internal_review,2026-08-11
type-I-large-slab-three-alpha-arithmetic-boundaries,large-slab 三个内部系数的算术出口与提升边界,established,repository_derivation,internal_review,2026-08-01
type-I-marked-support-accumulation-rechart-saturation,外部支撑累积重图表的良基下降与 overflow 饱和边界,established,repository_derivation,internal_review,2026-08-03
type-I-odd-owner-prime-matched-affine-carrier-fourier-descent-boundary,奇素数 source 匹配的仿射载体、显式核 Fourier 与良基递降边界,established,repository_derivation,internal_review,2026-08-10
type-I-overflow-a-one-dual-outer-rank-reset,A=1 overflow 的对偶外层秩 RESET,established,repository_derivation,internal_review,2026-08-03
